contrastive,env_steps,iter,kl,mode,recon,return,reward,seed
,960,0,0.37261801958084106,recon (Dreamer style),0.2769581973552704,-40.285133361816406,0.071346715092659,0
,5760,5,2.0180654525756836,recon (Dreamer style),0.026676364243030548,-41.60881042480469,0.025685472413897514,0
,10560,10,2.5367019176483154,recon (Dreamer style),0.019068816676735878,-38.198272705078125,0.012928156182169914,0
,15360,15,2.8356573581695557,recon (Dreamer style),0.011312122456729412,-36.42575454711914,0.012842961587011814,0
,20160,20,2.831354856491089,recon (Dreamer style),0.016391705721616745,-34.88136291503906,0.010884487070143223,0
,24960,25,2.2437174320220947,recon (Dreamer style),0.00985497422516346,-33.048431396484375,0.00822223350405693,0
,29760,30,2.5711493492126465,recon (Dreamer style),0.009519707411527634,-31.069210052490234,0.006313304416835308,0
,34560,35,2.664485454559326,recon (Dreamer style),0.004666420631110668,-31.251081466674805,0.004420949146151543,0
,39360,40,3.2064132690429688,recon (Dreamer style),0.008422945626080036,-30.610790252685547,0.00442899577319622,0
,44160,45,2.728907823562622,recon (Dreamer style),0.005994052160531282,-32.7357292175293,0.005861814599484205,0
,48960,50,3.130371332168579,recon (Dreamer style),0.002436909591779113,-36.634307861328125,0.0042908103205263615,0
,53760,55,2.9261887073516846,recon (Dreamer style),0.002177528105676174,-39.98972702026367,0.0032080383971333504,0
,57600,59,2.5047690868377686,recon (Dreamer style),0.003291813423857093,-38.12539291381836,0.0027442993596196175,0
,960,0,0.26625341176986694,no-recon (MuZero style),,-40.456153869628906,0.07750353962182999,0
,5760,5,1.1342812776565552,no-recon (MuZero style),,-36.65509796142578,0.05760414898395538,0
,10560,10,2.2130370140075684,no-recon (MuZero style),,-36.7469482421875,0.040981050580739975,0
,15360,15,2.1282401084899902,no-recon (MuZero style),,-35.75583267211914,0.01860530488193035,0
,20160,20,1.8544180393218994,no-recon (MuZero style),,-38.22998046875,0.010048950091004372,0
,24960,25,1.9971030950546265,no-recon (MuZero style),,-39.155250549316406,0.006473415996879339,0
,29760,30,2.0274784564971924,no-recon (MuZero style),,-37.08837890625,0.005794048774987459,0
,34560,35,1.7888113260269165,no-recon (MuZero style),,-37.90662384033203,0.0045897564850747585,0
,39360,40,2.22249698638916,no-recon (MuZero style),,-37.827964782714844,0.004958153702318668,0
,44160,45,2.407099485397339,no-recon (MuZero style),,-37.547935485839844,0.006001708563417196,0
,48960,50,2.528484344482422,no-recon (MuZero style),,-38.63368606567383,0.005145711824297905,0
,53760,55,1.9659491777420044,no-recon (MuZero style),,-36.552425384521484,0.003344485769048333,0
,57600,59,2.0074822902679443,no-recon (MuZero style),,-35.885955810546875,0.003566163592040539,0
2.888451099395752,960,0,0.6873053908348083,contrastive,,-40.21231460571289,0.07280956208705902,0
1.8349833488464355,5760,5,2.1020267009735107,contrastive,,-38.214508056640625,0.023637695237994194,0
1.7916374206542969,10560,10,2.2997360229492188,contrastive,,-40.158111572265625,0.01017762441188097,0
1.759373426437378,15360,15,2.333864450454712,contrastive,,-36.4406623840332,0.009675102308392525,0
1.7084897756576538,20160,20,2.4205963611602783,contrastive,,-37.01048278808594,0.008250472135841846,0
1.6000785827636719,24960,25,2.543919324874878,contrastive,,-39.46643829345703,0.006338002160191536,0
1.6699334383010864,29760,30,3.257957935333252,contrastive,,-38.801124572753906,0.006167694926261902,0
1.700585126876831,34560,35,3.1802003383636475,contrastive,,-38.81906509399414,0.0059221768751740456,0
1.6850134134292603,39360,40,2.71089243888855,contrastive,,-39.38391876220703,0.003214366501197219,0
1.7687715291976929,44160,45,2.96712327003479,contrastive,,-40.132057189941406,0.0034759233240038157,0
1.7616530656814575,48960,50,2.7911810874938965,contrastive,,-36.555419921875,0.004140688572078943,0
1.5988600254058838,53760,55,2.9225683212280273,contrastive,,-41.280540466308594,0.0070870709605515,0
