mode,reward_mae,seed,step
recon (Dreamer style),0.04025869071483612,0,1
recon (Dreamer style),0.04225534573197365,0,2
recon (Dreamer style),0.04760012775659561,0,3
recon (Dreamer style),0.05002039670944214,0,4
recon (Dreamer style),0.05774977058172226,0,5
recon (Dreamer style),0.06357589364051819,0,6
recon (Dreamer style),0.07299578189849854,0,7
recon (Dreamer style),0.08478398621082306,0,8
recon (Dreamer style),0.08708363026380539,0,9
recon (Dreamer style),0.09659233689308167,0,10
recon (Dreamer style),0.10790015757083893,0,11
recon (Dreamer style),0.11910697817802429,0,12
recon (Dreamer style),0.1333262175321579,0,13
recon (Dreamer style),0.15103113651275635,0,14
recon (Dreamer style),0.1634913682937622,0,15
recon (Dreamer style),0.17776049673557281,0,16
recon (Dreamer style),0.1915188580751419,0,17
recon (Dreamer style),0.21702003479003906,0,18
recon (Dreamer style),0.23264381289482117,0,19
recon (Dreamer style),0.23848605155944824,0,20
recon (Dreamer style),0.24703267216682434,0,21
recon (Dreamer style),0.2622283399105072,0,22
recon (Dreamer style),0.2831451892852783,0,23
recon (Dreamer style),0.2891693711280823,0,24
recon (Dreamer style),0.28641724586486816,0,25
recon (Dreamer style),0.2889837622642517,0,26
recon (Dreamer style),0.27827727794647217,0,27
recon (Dreamer style),0.2785678207874298,0,28
recon (Dreamer style),0.2823542058467865,0,29
recon (Dreamer style),0.26839128136634827,0,30
recon (Dreamer style),0.2540530860424042,0,31
recon (Dreamer style),0.25188785791397095,0,32
recon (Dreamer style),0.25709229707717896,0,33
recon (Dreamer style),0.26073476672172546,0,34
recon (Dreamer style),0.2552435100078583,0,35
recon (Dreamer style),0.2576008141040802,0,36
recon (Dreamer style),0.26773586869239807,0,37
recon (Dreamer style),0.2807776629924774,0,38
recon (Dreamer style),0.2925417423248291,0,39
recon (Dreamer style),0.2910062372684479,0,40
no-recon (MuZero style),0.05349644273519516,0,1
no-recon (MuZero style),0.058915797621011734,0,2
no-recon (MuZero style),0.06274376809597015,0,3
no-recon (MuZero style),0.06539209932088852,0,4
no-recon (MuZero style),0.06741850823163986,0,5
no-recon (MuZero style),0.06934677064418793,0,6
no-recon (MuZero style),0.07298820465803146,0,7
no-recon (MuZero style),0.07714122533798218,0,8
no-recon (MuZero style),0.0751798003911972,0,9
no-recon (MuZero style),0.08531040698289871,0,10
no-recon (MuZero style),0.09644551575183868,0,11
no-recon (MuZero style),0.10867138206958771,0,12
no-recon (MuZero style),0.12718519568443298,0,13
no-recon (MuZero style),0.1532725989818573,0,14
no-recon (MuZero style),0.1842949092388153,0,15
no-recon (MuZero style),0.22285225987434387,0,16
no-recon (MuZero style),0.2574096918106079,0,17
no-recon (MuZero style),0.2935618758201599,0,18
no-recon (MuZero style),0.3051068186759949,0,19
no-recon (MuZero style),0.32077667117118835,0,20
no-recon (MuZero style),0.3331311345100403,0,21
