env_steps,final_return,mode,params,seed,wall_s
57600,-38.12539291381836,recon (Dreamer style),95235,0,57.39333562499087
57600,-35.885955810546875,no-recon (MuZero style),84609,0,58.80404491600348
57600,-42.674381256103516,contrastive,111489,0,57.30842033299268
384000,-40.025245666503906,model-free (recurrent PG),0,0,6.411601165993488
57600,-40.919822692871094,recon (Dreamer style),95235,1,65.4297913749906
57600,-39.167259216308594,no-recon (MuZero style),84609,1,67.85468225000659
57600,-40.60732650756836,contrastive,111489,1,60.649861458994565
384000,-34.94379425048828,model-free (recurrent PG),0,1,7.51143504200445
57600,-36.783939361572266,recon (Dreamer style),95235,2,63.153880625002785
57600,-40.38756561279297,no-recon (MuZero style),84609,2,59.064513958001044
57600,-40.917484283447266,contrastive,111489,2,64.04094787500799
384000,-35.07525634765625,model-free (recurrent PG),0,2,6.16340783299529
